date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:10	35035/35035	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:09%20GMT	https://mp3-youtube.download/en	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/en.html	(from )
17:28:11	115/115	---MCZ	200	added ('OK')	text/plain	etag:W/%225d6d1896-8f%22	https://mp3-youtube.download/robots.txt		(from )
17:28:11	35312/35312	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:09%20GMT	https://mp3-youtube.download/ca	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/ca.html	(from https://mp3-youtube.download/en)
17:28:11	35261/35261	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:10%20GMT	https://mp3-youtube.download/de	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/de.html	(from https://mp3-youtube.download/en)
17:28:11	35362/35362	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:10%20GMT	https://mp3-youtube.download/es	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/es.html	(from https://mp3-youtube.download/en)
17:28:12	35507/35507	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:10%20GMT	https://mp3-youtube.download/fr	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/fr.html	(from https://mp3-youtube.download/en)
17:28:12	35303/35303	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:10%20GMT	https://mp3-youtube.download/it	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/it.html	(from https://mp3-youtube.download/en)
17:28:12	35285/35285	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:11%20GMT	https://mp3-youtube.download/nl	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/nl.html	(from https://mp3-youtube.download/en)
17:28:12	35240/35240	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:11%20GMT	https://mp3-youtube.download/pl	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/pl.html	(from https://mp3-youtube.download/en)
17:28:12	35140/35140	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:11%20GMT	https://mp3-youtube.download/pt	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/pt.html	(from https://mp3-youtube.download/en)
17:28:13	35175/35175	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:11%20GMT	https://mp3-youtube.download/ro	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/ro.html	(from https://mp3-youtube.download/en)
17:28:13	35385/35385	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202019%2015:28:12%20GMT	https://mp3-youtube.download/tr	D:/downloaded%20websites/MP3%20Converter/mp3-youtube.download/tr.html	(from https://mp3-youtube.download/en)
